fecha,empresa,comentario
2024-08-01,Erco,"Excelente proyecto de energía solar, felicitaciones al equipo de ERCO!"
2024-08-02,Celsia,"Celsia sigue con sus planes de expansión en energía limpia."
2024-08-03,Enel,"Poca atención al cliente en zonas rurales"
2024-08-04,EPM,"Gran inversión de EPM en redes inteligentes"
2024-08-05,Vatia,"El servicio ha mejorado en el último año"
2024-08-06,Bia Energy,"Poco conocidos pero con proyectos interesantes"
2024-08-07,Erco,"ERCO está liderando en almacenamiento en Colombia"
2024-08-08,Erco,"No me gustó cómo atendieron una solicitud"
2024-08-09,Celsia,"Buen servicio técnico"
2024-08-10,Erco,"Gran lanzamiento de La Martina. Potente avance"
